dataset,mode,role,lambda,n_budget_type,n_budget,n_star,n_star_ci_low,n_star_ci_high,reference_type,reference_n,ratio,ratio_ci_low,ratio_ci_high,early_stop_flag,budget_sensitive,budget_extrapolates_beyond_observed
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.42366834170854273,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4285929648241206,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4335175879396985,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4384422110552764,observed_max,50.0,7,,,N95,22.0,0.3181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4433668341708543,observed_max,50.0,7,,,N95,22.0,0.3181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.44829145728643216,observed_max,50.0,7,,,N95,22.0,0.3181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.45321608040201006,observed_max,50.0,7,,,N95,22.0,0.3181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.45814070351758795,observed_max,50.0,7,,,N95,22.0,0.3181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.46306532663316585,observed_max,50.0,7,,,N95,22.0,0.3181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.46798994974874375,observed_max,50.0,7,,,N95,22.0,0.3181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.47291457286432165,observed_max,50.0,7,,,N95,22.0,0.3181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.47783919597989954,observed_max,50.0,7,,,N95,22.0,0.3181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4827638190954774,observed_max,50.0,7,,,N95,22.0,0.3181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4876884422110553,observed_max,50.0,7,,,N95,22.0,0.3181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4926130653266332,observed_max,50.0,7,,,N95,22.0,0.3181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4975376884422111,observed_max,50.0,7,7.0,7.0,N95,22.0,0.3181818181818182,0.3181818181818182,0.3181818181818182,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.502462311557789,observed_max,50.0,7,7.0,7.0,N95,22.0,0.3181818181818182,0.3181818181818182,0.3181818181818182,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5073869346733668,observed_max,50.0,8,,,N95,22.0,0.36363636363636365,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5123115577889448,observed_max,50.0,8,,,N95,22.0,0.36363636363636365,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5172361809045226,observed_max,50.0,8,,,N95,22.0,0.36363636363636365,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5221608040201006,observed_max,50.0,8,,,N95,22.0,0.36363636363636365,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5270854271356784,observed_max,50.0,8,,,N95,22.0,0.36363636363636365,,,True,True,False
