bootstrap,N,C
20,24,0.9888
20,25,0.9895
20,26,0.9898
20,27,0.9899
20,28,0.9902
20,29,0.9909
20,30,0.9902
20,31,0.99
20,32,0.9903
20,33,0.9901
20,34,0.9899
20,35,0.9902
20,36,0.9912
20,37,0.9911
20,38,0.9912
20,39,0.9903
20,40,0.9903
20,41,0.9908
20,42,0.9906
20,43,0.9902
20,44,0.9903
20,45,0.9907
20,46,0.9909
20,47,0.9909
20,48,0.9909
20,49,0.9911
20,50,0.9909
21,2,0.9517
21,3,0.9798
21,4,0.9827
21,5,0.9865
21,6,0.9889
21,7,0.9889
21,8,0.9885
21,9,0.99
21,10,0.9893
21,11,0.9903
21,12,0.9909
21,13,0.9908
21,14,0.9911
21,15,0.992
21,16,0.9911
21,17,0.9915
21,18,0.9918
21,19,0.992
21,20,0.9913
21,21,0.9908
21,22,0.9917
21,23,0.9923
21,24,0.9921
21,25,0.9923
21,26,0.9923
21,27,0.9922
21,28,0.9918
21,29,0.9921
21,30,0.9918
21,31,0.9924
21,32,0.9921
21,33,0.9925
21,34,0.9924
21,35,0.9921
21,36,0.9924
21,37,0.9925
21,38,0.9926
21,39,0.9926
21,40,0.9929
21,41,0.9927
21,42,0.9926
21,43,0.9925
21,44,0.9927
21,45,0.9923
21,46,0.9927
21,47,0.9928
21,48,0.9927
21,49,0.9926
21,50,0.993
22,2,0.9534
22,3,0.9765
22,4,0.9818
22,5,0.9862
22,6,0.9875
22,7,0.9894
22,8,0.9904
22,9,0.9908
22,10,0.9907
22,11,0.9904
22,12,0.9908
22,13,0.991
22,14,0.9914
22,15,0.9921
22,16,0.9923
22,17,0.9919
22,18,0.9927
22,19,0.9923
22,20,0.9922
22,21,0.992
22,22,0.9925
22,23,0.992
22,24,0.9915
22,25,0.992
22,26,0.9917
22,27,0.9926
22,28,0.9914
22,29,0.9921
22,30,0.9922
22,31,0.9924
22,32,0.9929
22,33,0.9928
22,34,0.9926
22,35,0.993
22,36,0.993
22,37,0.9927
22,38,0.9926
22,39,0.9929
22,40,0.9927
22,41,0.9929
22,42,0.9926
22,43,0.9929
22,44,0.9927
22,45,0.9928
22,46,0.9928
22,47,0.993
22,48,0.9925
22,49,0.9928
22,50,0.9925
23,2,0.9546
23,3,0.9788
23,4,0.9816
23,5,0.9869
23,6,0.987
23,7,0.9885
23,8,0.9892
23,9,0.99
23,10,0.9908
23,11,0.9906
23,12,0.9909
23,13,0.9907
23,14,0.9913
23,15,0.9913
23,16,0.9923
23,17,0.9918
23,18,0.991
23,19,0.9918
23,20,0.9923
23,21,0.9919
23,22,0.9927
23,23,0.9918
23,24,0.9915
23,25,0.9923
23,26,0.9919
23,27,0.992
23,28,0.9921
23,29,0.993
23,30,0.993
23,31,0.9927
23,32,0.9923
23,33,0.9923
23,34,0.9928
23,35,0.9928
23,36,0.9936
23,37,0.9931
23,38,0.9939
23,39,0.9933
23,40,0.9933
23,41,0.9924
23,42,0.9934
23,43,0.9929
23,44,0.9931
23,45,0.9927
23,46,0.9929
23,47,0.9929
23,48,0.9925
23,49,0.9927
23,50,0.9928
24,2,0.9503
24,3,0.9805
24,4,0.9829
24,5,0.9871
24,6,0.9873
24,7,0.9899
24,8,0.9899
24,9,0.9904
24,10,0.9913
24,11,0.9923
24,12,0.9922
24,13,0.9923
24,14,0.9928
24,15,0.9922
24,16,0.9928
24,17,0.9924
24,18,0.9926
24,19,0.9927
24,20,0.9924
24,21,0.9913
24,22,0.992
24,23,0.9921
24,24,0.9925
24,25,0.9917
24,26,0.9919
24,27,0.9919
24,28,0.9914
24,29,0.9912
24,30,0.9917
24,31,0.9914
24,32,0.9916
24,33,0.9919
24,34,0.9919
24,35,0.9916
24,36,0.9918
24,37,0.9915
24,38,0.992
24,39,0.9919
24,40,0.9918
24,41,0.9921
24,42,0.9921
24,43,0.992
24,44,0.9921
24,45,0.992
24,46,0.9921
24,47,0.9924
24,48,0.9926
24,49,0.9924
24,50,0.9919
25,2,0.9497
25,3,0.9769
25,4,0.9827
25,5,0.986
25,6,0.9856
25,7,0.9867
25,8,0.9882
25,9,0.9886
25,10,0.9885
25,11,0.9889
25,12,0.9897
25,13,0.9895
25,14,0.9902
25,15,0.9905
25,16,0.9912
25,17,0.9907
25,18,0.9907
25,19,0.9905
25,20,0.9915
25,21,0.9916
25,22,0.9912
25,23,0.9912
25,24,0.9908
25,25,0.9909
25,26,0.9908
25,27,0.9909
25,28,0.9915
25,29,0.9912
25,30,0.9918
25,31,0.9919
25,32,0.9917
25,33,0.9918
25,34,0.9923
25,35,0.992
25,36,0.9927
25,37,0.993
25,38,0.993
25,39,0.9926
25,40,0.9923
25,41,0.9924
25,42,0.9926
25,43,0.9928
25,44,0.9923
25,45,0.9926
25,46,0.9921
25,47,0.9928
25,48,0.9925
25,49,0.9927
25,50,0.9927
26,2,0.9523
26,3,0.9795
26,4,0.9834
26,5,0.9849
26,6,0.9863
26,7,0.9868
26,8,0.9882
26,9,0.9889
26,10,0.9894
26,11,0.9895
26,12,0.9902
26,13,0.9897
26,14,0.99
26,15,0.991
26,16,0.9909
26,17,0.9908
26,18,0.9916
26,19,0.9913
26,20,0.9916
26,21,0.9919
26,22,0.9912
26,23,0.9922
26,24,0.9917
26,25,0.9921
26,26,0.9921
26,27,0.9926
