lambda,N_star,U_star
0.2660804020100503,6,0.08779701756834538
0.2710050251256282,6,0.09164293026366131
0.275929648241206,7,0.09555244916078408
0.2808542713567839,7,0.09975644479322932
0.2857788944723618,7,0.1039604404256746
0.2907035175879397,7,0.10816443605811983
0.2956281407035176,7,0.1123684316905651
0.3005527638190955,7,0.11657242732301033
0.3054773869346734,7,0.1207764229554556
0.31040201005025125,7,0.12498041858790081
0.31532663316582915,7,0.12918441422034604
0.32025125628140705,7,0.13338840985279132
0.32517587939698495,7,0.13759240548523655
0.33010050251256284,7,0.14179640111768183
0.33502512562814074,8,0.14613520241760736
0.33994974874371864,8,0.15063516489502232
0.3448743718592965,8,0.15513512737243723
0.3497989949748744,8,0.1596350898498522
0.3547236180904523,8,0.1641350523272672
0.3596482412060302,8,0.16863501480468213
0.36457286432160807,8,0.1731349772820971
0.36949748743718597,8,0.17763493975951206
0.37442211055276386,8,0.18213490223692702
0.3793467336683417,8,0.18663486471434193
0.3842713567839196,8,0.1911348271917569
0.3891959798994975,9,0.19574436140961288
0.3941206030150754,9,0.200498776828353
0.3990452261306533,9,0.20525319224709307
0.4039698492462312,9,0.21000760766583315
0.4088944723618091,9,0.21476202308457326
0.41381909547738693,9,0.21951643850331332
0.41874371859296483,9,0.2242708539220534
0.42366834170854273,9,0.2290252693407936
0.4285929648241206,9,0.2337796847595337
0.4335175879396985,9,0.23853410017827376
0.4384422110552764,9,0.24328851559701387
0.4433668341708543,10,0.2481114646245331
0.44829145728643216,10,0.2530887879310279
0.45321608040201006,10,0.2580661112375227
0.45814070351758795,10,0.26304343454401763
0.46306532663316585,10,0.2680207578505125
0.46798994974874375,10,0.2729980811570074
0.47291457286432165,10,0.2779754044635023
0.47783919597989954,10,0.28295272776999714
0.4827638190954774,10,0.287930051076492
0.4876884422110553,10,0.29290737438298686
0.4926130653266332,11,0.29800667785986423
0.4975376884422111,11,0.3031851593890152
0.502462311557789,11,0.30836364091816615
0.5073869346733668,11,0.31354212244731705
0.5123115577889448,11,0.31872060397646806
0.5172361809045226,11,0.32389908550561897
0.5221608040201006,11,0.32907756703477
0.5270854271356784,11,0.3342560485639208
0.5320100502512564,12,0.3395337370588435
0.5369346733668342,12,0.3448982696206425
0.541859296482412,12,0.35026280218244155
0.54678391959799,12,0.3556273347442407
0.5517085427135678,12,0.36099186730603966
0.5566331658291458,12,0.36635639986783874
0.5615577889447236,12,0.37172093242963783
0.5664824120603016,12,0.3770854649914369
0.5714070351758794,12,0.38244999755323594
0.5763316582914573,13,0.38793157325399263
0.5812562814070352,13,0.3934680013801495
0.5861809045226131,13,0.3990044295063061
0.591105527638191,13,0.40454085763246295
