dataset,mode,role,lambda,n_budget_type,n_budget,eta,n_max,n_star,n_star_unconstrained,capacity_binds,n_star_ci_low,n_star_ci_high,reference_type,reference_n,ratio,ratio_ci_low,ratio_ci_high,early_stop_flag,budget_sensitive,budget_extrapolates_beyond_observed
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3842713567839196,observed_max,50.0,0.03204655420426311,50,6,6,False,,,N95,29.0,0.20689655172413793,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3891959798994975,observed_max,50.0,0.031387992253066495,50,6,6,False,,,N95,29.0,0.20689655172413793,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3941206030150754,observed_max,50.0,0.030745888053040925,50,6,6,False,,,N95,29.0,0.20689655172413793,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3990452261306533,observed_max,50.0,0.030119632288124917,50,7,7,False,,,N95,29.0,0.2413793103448276,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4039698492462312,observed_max,50.0,0.029508645353899736,50,7,7,False,,,N95,29.0,0.2413793103448276,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4088944723618091,observed_max,50.0,0.028912375568391296,50,7,7,False,,,N95,29.0,0.2413793103448276,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.41381909547738693,observed_max,50.0,0.02833029751062538,50,7,7,False,,,N95,29.0,0.2413793103448276,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.41874371859296483,observed_max,50.0,0.02776191047641906,50,7,7,False,,,N95,29.0,0.2413793103448276,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.42366834170854273,observed_max,50.0,0.027206737041869287,50,7,7,False,,,N95,29.0,0.2413793103448276,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4285929648241206,observed_max,50.0,0.026664321725876416,50,7,7,False,,,N95,29.0,0.2413793103448276,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4335175879396985,observed_max,50.0,0.026134229743827515,50,7,7,False,,,N95,29.0,0.2413793103448276,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4384422110552764,observed_max,50.0,0.025616045845272203,50,7,7,False,,,N95,29.0,0.2413793103448276,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4433668341708543,observed_max,50.0,0.025109373229060407,50,7,7,False,,,N95,29.0,0.2413793103448276,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.44829145728643216,observed_max,50.0,0.024613832529985426,50,7,7,False,,,N95,29.0,0.2413793103448276,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.45321608040201006,observed_max,50.0,0.024129060871493514,50,7,7,False,,,N95,29.0,0.2413793103448276,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.45814070351758795,observed_max,50.0,0.023654710979488867,50,7,7,False,,,N95,29.0,0.2413793103448276,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.46306532663316585,observed_max,50.0,0.023190450352685833,50,7,7,False,,,N95,29.0,0.2413793103448276,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.46798994974874375,observed_max,50.0,0.022735960485343067,50,8,8,False,,,N95,29.0,0.27586206896551724,,,True,False,False
